"year","biggest_event","darkest_joke"
"2012","""The 2012 phenomenon, centered around the belief that the world would end on December 21, 2012, based on a misinterpretation of the Mesoamerican Long Count calendar, gained widespread global attention and cultural significance.""","""2012 taught us the Mayans were right—they just mistook the apocalypse for a spoiler alert."""
"2011","""The most famous event in 2011 was the Arab Spring, a series of anti-government protests, uprisings, and armed rebellions across the Middle East and North Africa, leading to significant political changes in countries like Egypt, Libya, and Tunisia.""","""Why did the radiation from Fukushima join Tumblr? To finally prove that glowing green is the new Team Edward vs. Team Jacob."""
"2010","""The 2010 Haiti Earthquake, a catastrophic magnitude 7.0 quake striking near Port-au-Prince on January 12, leading to over 200,000 deaths and massive international humanitarian response.""","""Why did 2010 feel like a failed GPS? It kept taking us to the Gulf oil spill when we asked for directions to a brighter future."""
"2009","""The death of Michael Jackson on June 25, 2009, which triggered global mourning and massive media coverage, followed by the H1N1 influenza pandemic declared by the World Health Organization.""","""2009: The year the economy crashed so hard, even the Large Hadron Collider couldn't find where all the jobs went."""
"2008","""The 2008 Beijing Summer Olympics, a global sporting event that showcased China's rise on the world stage.""","""Why did the 2008 homeowner bring a ladder to the bank? To climb out of the housing market crash before the interest rates buried them."""
"2007","""The launch of the first iPhone by Apple on June 29, 2007, revolutionizing the smartphone industry and mobile technology.""","""2007: The year we learned you could lose your house, your savings, and your faith in the stock market faster than you could say 'iPhone launch'."""
"2006","""The International Astronomical Union (IAU) redefined the term 'planet,' leading to Pluto being reclassified as a dwarf planet in August 2006.""","""2006 was the year we realized both Saddam and the housing market were going down—one by a rope, the other by a slope."""
"2005","""The most famous event of 2005 was Hurricane Katrina, a catastrophic hurricane that devastated the U.S. Gulf Coast, particularly New Orleans, causing widespread destruction, flooding, and significant loss of life.""","""What's the best way to break the ice in New Orleans post-2005? Mention how they already broke the levees."""
"2004","""The Indian Ocean earthquake and tsunami occurred on December 26, 2004, with a magnitude of 9.1–9.3, triggering devastating tsunamis that killed over 230,000 people across 14 countries.""","""2004: The year Facebook taught us even 'friends' can drown in your tsunami of oversharing before we knew how to swim in social media."""
"2003","""The invasion of Iraq by a U.S.-led coalition, marking the start of the Iraq War, is widely regarded as the most globally prominent event of 2003.""","""2003 was the year the U.S. government spent billions searching for WMDs in Iraq—turns out the real weapons of mass destruction were our hopes for a stable post-9/11 world."""
"2002","""The 2002 FIFA World Cup, co-hosted by South Korea and Japan, was the most famous global event, marking the first World Cup held in Asia and Brazil's record fifth title victory.""","""What did Enron and Bush's Axis of Evil have in common? Both were labeled 'weapons of mass destruction'—one just hid its stock options better."""
"2001","""The September 11 terrorist attacks on the United States, orchestrated by al-Qaeda, resulting in the collapse of the World Trade Center towers, significant loss of life, and global geopolitical shifts.""","""2001: The year humans finally found intelligent life in space... and then promptly grounded all flights to avoid meeting it."""
"2000","""The most famous event of the year 2000 was the global celebration of the new millennium, marked by widespread festivities and concerns over the Y2K bug, which involved fears that computer systems worldwide might fail due to the date change from 1999 to 2000.""","""The Y2K scare had everyone prepping for the end of the world, but the real tragedy was realizing we’d all survive to watch ‘Survivor’ win an Emmy."""
"1999","""The most famous event of 1999 was the widespread fear and preparation for the Y2K bug, a computer glitch anticipated at the turn of the millennium due to date formatting issues.""","""1999: The year humanity spent millions fixing the Y2K bug, only to realize the real glitch was leaving the 'never repeat the 20th century' setting unchecked."""
"1998","""The impeachment of U.S. President Bill Clinton following the Monica Lewinsky scandal.""","""Why did Bill Clinton deny the asteroid in 'Armageddon'? He didn’t want to be the second thing from 1998 that blew up in America’s face."""
"1997","""The death of Princess Diana in a car crash in Paris on August 31, 1997, which sparked global mourning and intense media scrutiny.""","""1997 was the year the world learned you could have a blockbuster about a tragic sinking... and still not top the one in Paris that August."""
"1996","""The cloning of Dolly the Sheep, the first mammal cloned from an adult somatic cell, by scientists at the Roslin Institute in Scotland.""","""1996 was the year airlines and Olympic security competed to see who could crash and burn first — TWA Flight 800 and the Atlanta Olympics bombing really kept the *spirit* of ‘96 alive."""
"1995","""The Srebrenica massacre in July 1995, where over 8,000 Bosniak men and boys were killed by Bosnian Serb forces during the Bosnian War, marking the worst European atrocity since World War II.""","""1995: The year we realized the Oklahoma City Building wasn't the only thing that could collapse in seconds—thanks, Windows 95."""
"1994","""The Rwandan Genocide""","""1994 taught us that even a white Bronco can't outrun a punchline—just ask the glove that didn't fit."""
"1993","""The signing of the Oslo Accords between Israel and the Palestine Liberation Organization (PLO) in 1993, a pivotal step toward peace in the Middle East.""","""1993 was the year terrorism learned to light up a room—domestically with Waco’s fiery finale and internationally with the World Trade Center’s explosive debut. Who said pyrotechnics couldn’t be bipartisan?"""
"1992","""The signing of the Maastricht Treaty, which established the European Union (EU) and laid the foundation for the euro currency.""","""1992 was the year the world realized you could have a 'clean' genocide as long as you called it 'ethnic cleansing' – nothing like a euphemism to make mass atrocities sound like a laundry detergent commercial."""
"1991","""The dissolution of the Soviet Union (USSR) in December 1991, marking the end of the Cold War and the collapse of one of the world's two major superpowers.""","""1991 was the year the Soviet Union realized communism works just as well in theory as it did in practice."""
"1990","""The reunification of East and West Germany on October 3, 1990, following the fall of the Berlin Wall in 1989, marked the end of the Cold War division in Europe.""","""1990: The year we realized oil was thicker than blood, but just as flammable."""
"1989","""The fall of the Berlin Wall on November 9, 1989, symbolizing the end of the Cold War and the collapse of communist regimes in Eastern Europe.""","""In 1989, the world witnessed the fall of walls and the rise of tank mannequins as the ultimate protest fashion statement."""
"1988","""The 1988 Summer Olympics in Seoul, South Korea""","""Why did the terrorist choose Pan Am for the holidays? Because nothing lights up the sky like a 'Lockerbie surprise' in '88."""
"1987","""The most famous event of 1987 was the Black Monday stock market crash on October 19, when the Dow Jones Industrial Average fell by 22.6%, the largest one-day percentage decline in history.""","""What’s the only thing that dropped faster than the stock market in 1987? The average lifespan of a Chernobyl tour guide."""
"1986","""The Chernobyl nuclear disaster occurred on April 26, 1986, in Ukraine (then part of the Soviet Union), marking the worst nuclear power plant accident in history.""","""What did NASA tell the Challenger crew about Halley’s Comet? *Don’t worry, the Soviets’ glowing reviews from Chernobyl will light your way...* and if that fails, Klaus Barbie’s trial transcripts make great kindling for a ‘final solution’ to the cold."""
"1985","""Live Aid, a dual-venue benefit concert held on July 13, 1985, organized by Bob Geldof and Midge Ure to raise funds for famine relief in Ethiopia. It featured iconic performances by artists like Queen, U2, and David Bowie, and was broadcast globally, becoming a landmark event in music and humanitarian history.""","""What did 1985 and a black hole have in common? Both made millions disappear, but only one had a charity concert to watch it happen."""
"1984","""The Bhopal gas tragedy, a catastrophic industrial disaster in India caused by a toxic gas leak from a Union Carbide pesticide plant, killing thousands and affecting hundreds of thousands more.""","""Why did the Thought Police start a union? Because even they realized working 24/7 to erase your memories of freedom was cutting into their own time to forget they never had any."""
"1983","""The most famous event of 1983 was the announcement of the Strategic Defense Initiative (SDI) by U.S. President Ronald Reagan, a proposed missile defense system intended to protect the United States from nuclear attacks, which escalated Cold War tensions.""","""Why did the Soviets build their bunkers with mirrored ceilings? So when NATO finally launched, they could watch capitalism collapse twice."""
"1982","""The Falklands War between Argentina and the United Kingdom""","""Why did E.T. avoid Chicago in 1982? He heard they were handing out extra-strength Tylenol... and didn’t want to phone home in a body bag."""
"1981","""The wedding of Prince Charles and Lady Diana Spencer on July 29, 1981, a globally televised event watched by over 750 million people.""","""In 1981, the only thing spreading faster than paranoia about the new 'gay cancer' was the realization that even a president could dodge a bullet—but not the consequences of ignoring an epidemic."""
"1980","""The eruption of Mount St. Helens on May 18, 1980, which was the deadliest and most economically destructive volcanic event in U.S. history.""","""1980 gave us Mount St. Helens' eruption and the Iran hostages—one was a sudden blast that buried everything, and the other was just a volcano."""
"1979","""The Iranian Revolution, which led to the overthrow of the Shah and the establishment of the Islamic Republic under Ayatollah Khomeini.""","""1979 gave us the Iranian hostage crisis and the Soviet invasion of Afghanistan—proof that even world leaders can’t resist the urge to gift-wrap their worst ideas and call it 'foreign policy'."""
"1978","""The Camp David Accords, signed in September 1978, marked a historic peace agreement between Egypt and Israel, mediated by U.S. President Jimmy Carter.""","""Why did the time traveler avoid 1978? They heard it was the year flavored drinks really... *killed* the vibe."""
"1977","""The release of the first 'Star Wars' film (Episode IV: A New Hope) directed by George Lucas, which became a global cultural phenomenon and revolutionized the film industry.""","""1977 was the year Elvis left the building permanently, Star Wars convinced kids that a galaxy far, far away was safer than New York City, and the 'Son of Sam' reminded everyone that Yoda wasn’t the only one giving ominous advice in the dark. Bonus: The NYC blackout taught looters the importance of energy-efficient lighting."""
"1976","""The Tangshan earthquake in China, which struck on July 28, 1976, is considered one of the deadliest earthquakes in recorded history, killing approximately 242,000 people.""","""Why did 1976’s fireworks have a cough? They were celebrating 200 years of freedom *and* a brand new way to clear out a convention center!"""
"1975","""The fall of Saigon on April 30, 1975, marked the end of the Vietnam War as North Vietnamese forces captured the city, leading to the reunification of Vietnam under communist rule.""","""Why did 1975 give helicopter sales a lift? Because nothing says 'exit strategy' like leaving your allies in a warzone with a 'No Refunds' policy."""
"1974","""The resignation of U.S. President Richard Nixon on August 9, 1974, following the Watergate scandal, was the most famous global event of the year.""","""Why did Nixon's tapes make the best Halloween soundtrack? Because nothing screams 'Cover-Up' like erasing 18 minutes of your conscience."""
"1973","""The 1973 oil crisis, triggered by an OPEC oil embargo in response to U.S. support for Israel during the Yom Kippur War, leading to fuel shortages and global economic turmoil.""","""Why did 1973 need a therapist? It had too many unresolved 'tank' issues and kept fueling everyone’s anxieties—both on the battlefield and at the gas station."""
"1972","""The Munich massacre during the 1972 Summer Olympics, where 11 Israeli athletes and coaches were taken hostage and killed by Palestinian terrorists, is one of the most infamous events of the year.""","""Why did the 1972 Munich Olympics committee struggle to balance security and hospitality? Because terrorists kept raising the 'hostage situation' from a bronze to a gold-medal event."""
"1971","""The most famous event of 1971 was the Indo-Pakistani War leading to the independence of Bangladesh, marking a significant geopolitical shift in South Asia.""","""1971: When you turned 18, the government finally let you vote on whether you should be drafted into a war they’d already lost."""
"1970","""The Apollo 13 mission, a dramatic NASA space crisis, became one of the most famous events of 1970 after an oxygen tank explosion forced the crew to abort their Moon landing, sparking a global focus on their safe return.""","""Why was the 1970 Kent State protest the year's most explosive event? Because attendance was booming... and so were the rifles."""
"1969","""The Apollo 11 mission, during which astronauts Neil Armstrong and Buzz Aldrin became the first humans to walk on the Moon on July 20, 1969.""","""1969 was the year humanity learned you could send a man to the moon but still couldn’t prevent the Manson Family from turning Helter Skelter into a home renovation show."""
"1968","""The assassination of Martin Luther King Jr. on April 4, 1968, a pivotal moment in the Civil Rights Movement that sparked widespread civil unrest and profound social change in the United States.""","""Why did 1968 give Czechoslovakia a standing ovation? Because their Prague Spring got crushed by an iron curtain call."""
"1967","""The Six-Day War, a conflict between Israel and a coalition of Arab states including Egypt, Jordan, and Syria, occurred in June 1967, significantly altering the geopolitical landscape of the Middle East.""","""Why did the Six-Day War end so quickly? Because even God knew 1967 had enough casualties to last a lifetime—no need to drag it out."""
"1966","""The launch of the Cultural Revolution in China by Mao Zedong, which began in 1966 and led to a decade of social and political upheaval.""","""What's the best way to clear out a room in 1966 China? Start a cultural conversation."""
"1965","""The most famous event of 1965 was the passage of the Voting Rights Act in the United States, a landmark civil rights legislation that prohibited racial discrimination in voting.""","""Why did 1965 make military recruiters so optimistic? Because with all the new 'Vietnam vacation packages,' they promised you’d either come home a hero or get a half-off discount on your return trip."""
"1964","""The Civil Rights Act of 1964 was signed into law in the United States, prohibiting discrimination based on race, color, religion, sex, or national origin.""","""1964: The year America decided to fight for freedom in Vietnam while still figuring out how to share a lunch counter."""
"1963","""The assassination of U.S. President John F. Kennedy on November 22, 1963, in Dallas, Texas.""","""Why did JFK’s trip to Dallas have such a killer view? Because they really nailed the 'open-top' experience."""
"1962","""The Cuban Missile Crisis, a 13-day confrontation between the United States and the Soviet Union over Soviet ballistic missiles deployed in Cuba, bringing the world to the brink of nuclear war.""","""Why did the Cuban Missile Crisis make the best game of musical chairs? Because every time the music stopped, the loser got to pick between becoming a smoldering crater or signing a treaty that let Khrushchev keep the high score."""
"1961","""The first human spaceflight, Vostok 1, carrying Soviet cosmonaut Yuri Gagarin, who became the first human to journey into outer space on April 12, 1961.""","""Why did 1961 give the Cold War a new meaning? Because the Berlin Wall taught us that the only thing harder to build than communism was a fence that could keep both people in and the CIA's dignity out after the Bay of Pigs."""
"1960","""The most famous event of 1960 was the first televised U.S. presidential debates between John F. Kennedy and Richard Nixon, marking a pivotal shift in political communication and media influence.""","""Why did 1960 feel like a spy thriller? Because the CIA was busy crashing U-2s while prepping coups, and the decade hadn’t even started its assassination bingo card yet."""
"1959","""The Cuban Revolution led by Fidel Castro culminated in the overthrow of Fulgencio Batista on January 1, 1959, establishing a communist government in Cuba.""","""Why did 1959 feel like the ultimate game of hide and seek? Because Cuba found Fidel, and suddenly half the island was packing light... and the other half just packed."""
"1958","""The establishment of NASA (National Aeronautics and Space Administration) on July 29, 1958, marked a pivotal moment in space exploration and the Cold War space race.""","""Why did the 1958 family buy a Hula Hoop? To practice ducking before the nuclear drills started—nothing says childhood like balancing fun and imminent annihilation!"""
"1957","""The launch of Sputnik 1 by the Soviet Union, the first artificial satellite, marking the beginning of the space age and the Cold War space race.""","""Why did the Soviets love 1957? They finally found a way to make Sputnik a 'satellite' that could drop nukes and capitalism a 'falling star'."""
"1956","""The Suez Crisis""","""Why was 1956 the worst year to play hide and seek? Just when you thought you'd found the Suez... everyone suddenly pulled out!"""
"1955","""The Montgomery Bus Boycott began in December 1955 after Rosa Parks' arrest, becoming a pivotal event in the U.S. Civil Rights Movement.""","""Why did 1955 parents love Disneyland's grand opening? Finally, a place where their kids could catch something worse than polio."""
"1954","""The U.S. Supreme Court's landmark decision in Brown v. Board of Education, declaring racial segregation in public schools unconstitutional, occurred in 1954.""","""Why did the CIA start selling bananas in 1954? They wanted to prove even a fruit company could orchestrate a *coup*."""
"1953","""The discovery of the DNA double helix structure by James Watson and Francis Crick in 1953, which revolutionized the understanding of genetics and molecular biology.""","""Why did Stalin’s funeral have such a ‘captive’ audience? Turns out Communist Heaven is just a five-year plan with no exit strategy."""
"1952","""The most famous event of 1952 was the first successful detonation of a hydrogen bomb, codenamed 'Ivy Mike', by the United States on November 1, 1952, marking a major milestone in nuclear weapons development during the Cold War.""","""Why did 1952 feel so warm? The US was just turning up the heat with their new 'Ivy League' project... and nobody noticed the Marshall Plan for sunburn."""
"1951","""The signing of the Treaty of San Francisco on September 8, 1951, which officially ended World War II hostilities between Japan and the Allied Powers and restored Japan's sovereignty.""","""Why did the 1951 kid prefer the polio ward over the playground? At least the iron lung didn’t have fallout from the nuclear 'playmates' next door."""
"1950","""The outbreak of the Korean War on June 25, 1950, when North Korea invaded South Korea, marking the first major conflict of the Cold War and drawing in international involvement.""","""1950s America: Where the only thing brighter than the atomic tests were the smiles hiding the fallout at home."""
"1949","""The establishment of the People's Republic of China on October 1, 1949, marked by Mao Zedong's declaration of its founding, was the most globally significant event of the year.""","""Why did 1949’s optimism feel so heavy? Because the Chinese Communist Party promised a 'People’s Paradise,' but forgot to mention the 'founders’ discount' on human lives."""
"1948","""The Declaration of the Establishment of the State of Israel on May 14, 1948, which led to the Arab-Israeli War and significantly shaped modern Middle Eastern geopolitics.""","""1948 was the year the world learned you could both create a homeland and drop care packages from the sky, but somehow only one got called a 'miracle'."""
"1947","""The partition of India and the creation of Pakistan in August 1947, marking the end of British colonial rule and leading to widespread displacement and violence.""","""What did the British say when they partitioned India? 'Let’s draw borders so sharp, even the massacres can’t cross the line.'"""
"1946","""The conclusion of the Nuremberg Trials, where prominent leaders of Nazi Germany were prosecuted for war crimes, marking a pivotal moment in international law and justice.""","""1946: When the only thing more explosive than the Bikini Atoll tests was the realization that humanity’s ‘never again’ promise came with a ‘best before’ date stamped ‘1947’."""
"1945","""The most famous event in 1945 was the end of World War II, marked by the surrender of Nazi Germany in May and Imperial Japan in September following the atomic bombings of Hiroshima and Nagasaki.""","""1945: The year humanity discovered the only thing darker than war is the peace that follows... especially when it’s lit by atomic fire."""
"1944","""The most famous event of 1944 was the D-Day invasion (Normandy landings) on June 6, 1944, during World War II, where Allied forces launched a massive amphibious assault on Nazi-occupied France, marking a pivotal turning point in the war.""","""Why did 1944 feel like a bad game of hide-and-seek? Because even if you whispered 'I surrender,' half the players still thought the final solution was 'found you.'"""
"1943","""The surrender of the German Sixth Army at the Battle of Stalingrad, marking a major turning point in World War II.""","""Why did the Nazi efficiency expert get a promotion? He streamlined the Final Solution to a single step."""
"1942","""The most famous event of 1942 was the Battle of Midway, a pivotal naval battle in World War II where the United States defeated Japan, marking a turning point in the Pacific Theater.""","""Why did the 1942 chef get promoted? He made the food disappear faster than the Allies could liberate a death camp."""
"1941","""The attack on Pearl Harbor by the Japanese on December 7, 1941, which led to the United States' entry into World War II.""","""Why did the American at Pearl Harbor get a calendar for Christmas? Because he didn’t see December coming!"""
"1940","""The most famous event of 1940 was the Battle of Britain, a major air campaign waged by the German Luftwaffe against the United Kingdom during World War II, marking the first major military campaign fought entirely by air forces.""","""Why did 1940 feel like a bad time to invest in curtains? Because everyone was getting blackout drunk... or just blackouts."""
"1939","""The outbreak of World War II following Germany's invasion of Poland on September 1, 1939.""","""Why did 1939 feel like the worst year to start a family tree? Because the branches kept getting cut off by a sudden blitz."""
"1938","""The Munich Agreement was signed in 1938, allowing Nazi Germany to annex the Sudetenland region of Czechoslovakia, marking a pivotal moment in the lead-up to World War II.""","""1938 was the year the Third Reich really proved the saying 'third time's the charm'—nothing says 'progress' like breaking glass warranties and offering a lifetime guarantee on ethnic paranoia."""
"1937","""The most famous event of 1937 was the Hindenburg disaster, the catastrophic fire that destroyed the German passenger airship LZ 129 Hindenburg during its landing attempt in New Jersey, USA, on May 6, 1937, killing 36 people and marking the end of the airship era.""","""Why did 1937’s calendar have extra pages? They needed more dates for… unscheduled events."""
"1936","""The 1936 Summer Olympics in Berlin, where Jesse Owens won four gold medals, challenging Adolf Hitler's Aryan supremacy ideology.""","""1936 was the year the Olympics proved you don’t need a master race when you’ve got a master athlete."""
"1935","""The enactment of the Nuremberg Laws in Nazi Germany, which institutionalized racial discrimination against Jews and laid the legal groundwork for the Holocaust.""","""1935: The year you could crack open a cold one while the Nazis cracked open basic human rights. Talk about a bitter aftertaste."""
"1934","""The most famous event of 1934 was the Night of the Long Knives (June 30 – July 2), a purge in which Adolf Hitler eliminated political opponents and consolidated power by murdering SA leaders, including Ernst Röhm, and other perceived threats to his regime in Nazi Germany.""","""Why did 1934 feel like such a productive year? Because even Hitler was streamlining government efficiency—nothing cuts bureaucracy like purging your own party overnight!"""
"1933","""Adolf Hitler's appointment as Chancellor of Germany on January 30, 1933, leading to the rise of the Nazi regime and setting the stage for World War II and the Holocaust.""","""1933: The year Germany discovered the ultimate loyalty program—join the party, get a free armband, and watch your neighbors vanish faster than your right to complain about it."""
"1932","""The Lindbergh baby kidnapping, where Charles Lindbergh's 20-month-old son was abducted, leading to a high-profile trial and eventual execution of the kidnapper, became a globally sensational event in 1932.""","""1932: When the only thing more inflated than the economy was Hitler's ego, but at least breadlines kept everyone equally hungry."""
"1931","""The completion of the Empire State Building in New York City on May 1, 1931, which became the tallest building in the world at the time and an iconic symbol of human architectural achievement.""","""Why did 1931 farmers start investing in air? Because their crops were stocks and the ground was dust."""
"1930","""The Great Depression began in 1929 but intensified globally in 1930, leading to widespread unemployment, economic collapse, and significant social upheaval.""","""Why did the 1930s economy never get invited to parties? It kept bringing everyone down, then crashed so hard even the ground started Dust Bowl-ing for an encore."""
"1929","""The Wall Street Crash of 1929, marking the onset of the Great Depression, is the most famous event of that year.""","""Why did the investor bring a ladder to Wall Street in 1929? To climb out of the crash... but they just kept falling into the Great Depression."""
"1928","""The discovery of penicillin by Alexander Fleming in 1928, which revolutionized medicine by introducing the world's first antibiotic.""","""1928: The year penicillin was discovered, just in time to treat the infections from all the paper cuts caused by counting stock certificates before they became wallpaper."""
"1927","""Charles Lindbergh completes the first solo nonstop transatlantic flight in his plane, the Spirit of St. Louis, flying from New York to Paris in May 1927.""","""1927 was the year the Mississippi River got a standing ovation—drowning entire towns was just its encore after the jazz age decided silence wasn’t the only thing that needed killing."""
"1926","""The first successful launch of a liquid-fueled rocket by Robert H. Goddard on March 16, 1926, marking a pivotal advancement in rocketry and space exploration.""","""In 1926, Robert Goddard’s liquid-fueled rocket proved humanity could reach for the stars… or, with a few tweaks, efficiently deliver mail to Hiroshima."""
"1925","""The Scopes Monkey Trial, a landmark legal case in the United States challenging the teaching of evolution in schools, began in Dayton, Tennessee.""","""1925: The year humanity realized you could write a book so terrible, it’d take a world war to get it off the bestseller list."""
"1924","""The 1924 Winter Olympics in Chamonix, France, the first Winter Olympics ever held, marked a historic milestone in international sports.""","""Why did Lenin’s will cause such a stir in 1924? Because it turned out the only thing more flammable than his political legacy was Stalin’s matchstick collection."""
"1923","""The Great Kantō Earthquake devastated Tokyo and Yokohama on September 1, 1923, killing over 140,000 people and causing widespread destruction.""","""Why did the German mark need a wheelchair in 1923? Because it couldn't stand on its own value anymore."""
"1922","""Discovery of the tomb of Tutankhamun by Howard Carter in the Valley of the Kings, Egypt.""","""Why was 1922 the ultimate year for irony? It gave us Tutankhamun's 'curse' and the Soviet Union—only one required a shovel to bury millions."""
"1921","""The founding of the Chinese Communist Party (CCP) in July 1921, a pivotal event in modern Chinese and global history.""","""Why did 1921 throw a speakeasy? Because even misery needed a password—and the guest list kept getting shorter than the vodka supply."""
"1920","""The ratification of the 19th Amendment to the United States Constitution on August 18, 1920, granting women the right to vote.""","""Why did the 1920s roar? Because the Spanish Flu didn’t leave enough survivors to ask for a refund on Prohibition."""
"1919","""The signing of the Treaty of Versailles on June 28, 1919, which officially ended World War I and imposed heavy reparations and territorial losses on Germany.""","""1919: The year humanity learned that even after the 'war to end all wars,' peace could still leave you coughing up blood and signing treaties in a room full of people who’d rather you didn’t exist."""
"1918","""The end of World War I with the signing of the Armistice on November 11, 1918, and the emergence of the Spanish Flu pandemic, one of the deadliest pandemics in human history.""","""1918: The year the Spanish Flu and World War I had a competition to see which could end humanity faster… turns out the war took a sick day."""
"1917","""The Russian Revolution, which led to the overthrow of the Tsarist autocracy and the establishment of the Soviet government under the Bolsheviks.""","""Why did the soldier in 1917 bring a ladder to the trenches? Because he heard the war was going to reach new heights... and depths... and gas attacks... and machine gun fire... and no, actually, they just really needed a way to climb out of the endless cycle of despair."""
"1916","""The Battle of the Somme, one of the largest and bloodiest battles of World War I, began in July 1916 and resulted in over one million casualties.""","""Why did the soldier ask for a joke before the Battle of the Somme? He heard the trenches were the only place where 'shell shock' came with a punchline."""
"1915","""The Gallipoli Campaign (also known as the Dardanelles Campaign), a major World War I military operation initiated by Allied forces against the Ottoman Empire, began in April 1915. It became infamous for its heavy casualties, logistical failures, and enduring legacy in nations like Australia and New Zealand, where it is commemorated annually as ANZAC Day.""","""Why did the Ottoman Empire RSVP 'no' to family reunions in 1915? They were too busy organizing the ultimate 'deportation' package—turns out 'eternal silence' was their RSVP card."""
"1914","""The outbreak of World War I (July 28, 1914), triggered by the assassination of Archduke Franz Ferdinand of Austria.""","""1914: When the world decided synchronized trench diving was an Olympic sport, but forgot to tell the athletes they were diving into oblivion."""
"1913","""The premiere of Igor Stravinsky's ballet *The Rite of Spring* in Paris, which caused a major scandal due to its avant-garde music and choreography.""","""1913 was the last year you could say 'This is the most peaceful time in history' without someone immediately handing you a rifle and a trench shovel."""
"1912","""The sinking of the RMS Titanic in April 1912, which struck an iceberg and sank during its maiden voyage, resulting in significant loss of life.""","""Why did the Titanic’s passengers refuse to play hide-and-seek? They knew the ship’s idea of a 'cold open' was a little too literal."""
"1911","""The most famous event of 1911 was the Xinhai Revolution in China, which led to the overthrow of the Qing Dynasty and the establishment of the Republic of China.""","""Why did the iceberg apply for a job in 1911? It heard the Titanic was looking for a real 'ice-breaker'."""
"1910","""The return of Halley's Comet, which was widely observed and caused significant public interest and scientific study.""","""Why did 1910 feel like the universe was pranking humanity? Halley’s Comet swung by to collect Mark Twain’s ‘I told you I’d go out with it’ bet, Mexico lit itself on fire with revolution, and scientists spent the year arguing over whether comet tails were poisonous... all while Earth’s atmosphere casually shrugged and said, 'Toxins? Just a prank, bro.'"""
"1909","""The most famous event of 1909 was Robert Peary's claim to have reached the North Pole, though his achievement remains controversial and disputed.""","""In 1909, the U.S. minted its first Lincoln penny—just in time for the Ottoman Sultan to lose his head in a coup. Talk about a coin toss: 'Heads' we celebrate progress, 'tails' you get massacred. Either way, the economy still sucked."""
"1908","""The most famous event of 1908 was the Tunguska Event, a massive aerial explosion caused by the airburst of a meteoroid over Siberia, flattening approximately 2,000 square kilometers of forest.""","""Why did 1908 give Siberia a free deforestation service? Because Ford was busy making sure the rest of us could drive to our own environmental collapse!"""
